rpm,hp,torque
7570,9.77,9.2
7580,9.78,9.2
7590,9.79,9.2
7600,9.8,9.2
7610,9.81,9.2
7620,9.82,9.2
7630,9.83,9.2
7640,9.84,9.2
7650,9.85,9.2
7660,9.86,9.2
7670,9.87,9.2
7680,9.88,9.2
7690,9.89,9.2
7700,9.9,9.2
7710,9.92,9.2
7720,9.94,9.2
7730,9.96,9.2
7740,9.98,9.2
7750,10,9.2
7760,10.02,9.2
7770,10.04,9.2
7780,10.06,9.2
7790,10.08,9.2
7800,10.1,9.2
7810,10.11,9.2
7820,10.12,9.2
7830,10.13,9.2
7840,10.14,9.2
7850,10.15,9.2
7860,10.16,9.2
7870,10.17,9.2
7880,10.18,9.2
7890,10.19,9.2
7900,10.2,9.2
7910,10.2,9.19
7920,10.2,9.18
7930,10.2,9.17
7940,10.2,9.16
7950,10.2,9.15
7960,10.21,9.14
7970,10.22,9.13
7980,10.23,9.12
7990,10.24,9.11
8000,10.2,9.1
8010,10.21,9.1
8020,10.22,9.1
8030,10.23,9.1
8040,10.24,9.1
8050,10.25,9.1
8060,10.26,9.1
8070,10.27,9.1
8080,10.28,9.1
8090,10.29,9.1
8100,10.3,9.1
8110,10.32,9.1
8120,10.34,9.1
8130,10.36,9.1
8140,10.38,9.1
8150,10.4,9.1
8160,10.42,9.1
8170,10.44,9.1
8180,10.46,9.1
8190,10.48,9.1
8200,10.5,9.1
8210,10.5,9.09
8220,10.5,9.08
8230,10.5,9.07
8240,10.5,9.06
8250,10.5,9.05
8260,10.51,9.04
8270,10.52,9.03
8280,10.53,9.02
8290,10.54,9.01
8300,10.5,9
8310,10.51,9
8320,10.52,9
8330,10.53,9
8340,10.54,9
8350,10.55,9
8360,10.56,9
8370,10.57,9
8380,10.58,9
8390,10.59,9
8400,10.6,9
8410,10.6,8.99
8420,10.6,8.98
8430,10.6,8.97
8440,10.6,8.96
8450,10.6,8.95
8460,10.6,8.94
8470,10.6,8.93
8480,10.6,8.92
8490,10.6,8.91
8500,10.6,8.9
8510,10.61,8.9
8520,10.62,8.9
8530,10.63,8.9
8540,10.64,8.9
8550,10.65,8.9
8560,10.66,8.89
8570,10.67,8.89
8580,10.68,8.89
8590,10.69,8.89
8600,10.7,8.9
8610,10.7,8.89
8620,10.7,8.88
8630,10.7,8.87
8640,10.7,8.86
8650,10.7,8.85
8660,10.7,8.84
8670,10.7,8.83
8680,10.7,8.82
8690,10.7,8.81
8700,10.7,8.8
8710,10.7,8.79
8720,10.7,8.78
8730,10.7,8.77
8740,10.7,8.76
8750,10.7,8.75
8760,10.7,8.74
8770,10.7,8.73
8780,10.7,8.72
8790,10.7,8.71
8800,10.7,8.7
8810,10.72,8.7
8820,10.74,8.7
8830,10.76,8.7
8840,10.78,8.7
8850,10.8,8.7
8860,10.82,8.69
8870,10.84,8.68
8880,10.86,8.67
8890,10.88,8.66
8900,10.9,8.7
8910,10.88,8.68
8920,10.86,8.66
8930,10.84,8.64
8940,10.82,8.62
8950,10.85,8.65
8960,10.86,8.63
8970,10.87,8.61
8980,10.88,8.59
8990,10.89,8.57
9000,10.8,8.6
9010,10.81,8.59
9020,10.82,8.58
9030,10.83,8.57
9040,10.84,8.56
9050,10.85,8.55
9060,10.86,8.54
9070,10.87,8.53
9080,10.88,8.52
9090,10.89,8.51
9100,10.9,8.5
9110,10.88,8.48
9120,10.86,8.46
9130,10.84,8.44
9140,10.82,8.42
9150,10.8,8.4
9160,10.77,8.37
9170,10.74,8.34
9180,10.71,8.31
9190,10.68,8.28
9200,10.7,8.3
9210,10.65,8.25
9220,10.6,8.2
9230,10.57,8.17
9240,10.56,8.16
9250,10.55,8.15
9260,10.52,8.12
9270,10.49,8.09
9280,10.46,8.06
9290,10.43,8.03
9300,10.4,8
9310,10.37,7.97
9320,10.34,7.94
9330,10.31,7.91
9340,10.3,7.88
9350,10.3,7.85
9360,10.28,7.82
9370,10.26,7.79
9380,10.24,7.76
9390,10.22,7.73
9400,10.2,7.7
9410,10.15,7.66
9420,10.1,7.62
9430,10.05,7.58
9440,10,7.54
9450,9.95,7.5
9460,9.9,7.46
9470,9.85,7.42
9480,9.8,7.38
9490,9.75,7.34
9500,9.7,7.3
