type,latitude,longitude,altitude (m),name,desc,corr_latitude,corr_longitude
T,25.49105005,51.45214104,12,,,25.49106,51.45215
T,25.49104165,51.45214964,12,,,25.49105,51.45215
T,25.49103327,51.45215823,12,,,25.49104,51.45216
T,25.4910249,51.4521668,12,,,25.49103,51.45217
T,25.49101376,51.4521782,12,,,25.49102,51.45218
T,25.49099434,51.45219254,12,,,25.491,51.4522
T,25.49098052,51.45220115,12,,,25.49099,51.45221
T,25.49096949,51.45220969,12,,,25.49097,51.45221
T,25.49095848,51.45221544,12,,,25.49096,51.45222
T,25.4909475,51.45222118,12,,,25.49095,51.45223
T,25.49094202,51.4522268,12,,,25.49095,51.45223
T,25.49093108,51.45222975,12,,,25.49094,51.45223
T,25.49091469,51.45224382,12.1,,,25.49092,51.45225
T,25.49089837,51.45225233,12.1,,,25.4909,51.45226
T,25.49088753,51.45225523,12.1,,,25.49089,51.45226
T,25.49087405,51.45226915,12.2,,,25.49088,51.45227
T,25.49086591,51.45227749,12.2,,,25.49087,51.45228
T,25.49085509,51.45228584,12.2,,,25.49086,51.45229
T,25.49085239,51.45229135,12.2,,,25.49086,51.4523
T,25.49084432,51.45230238,12.3,,,25.49085,51.45231
T,25.49083625,51.4523216,12.4,,,25.49084,51.45233
T,25.49083086,51.45234078,12.4,,,25.49084,51.45235
T,25.49082817,51.45235172,12.5,,,25.49083,51.45236
T,25.49082013,51.45236813,12.5,,,25.49083,51.45237
T,25.49081212,51.45238179,12.5,,,25.49082,51.45239
T,25.49080411,51.45239814,12.6,,,25.49081,51.4524
T,25.49079613,51.45240903,12.6,,,25.4908,51.45241
T,25.49078819,51.45241717,12.6,,,25.49079,51.45242
T,25.49078029,51.45243346,12.6,,,25.49079,51.45244
T,25.4907724,51.452447,12.6,,,25.49078,51.45245
T,25.49076189,51.4524605,12.6,,,25.49077,51.45247
T,25.49075403,51.45246857,12.6,,,25.49076,51.45247
T,25.49074096,51.45248199,12.6,,,25.49075,51.45249
T,25.49073313,51.45249003,12.6,,,25.49074,51.4525
T,25.4907253,51.45249805,12.6,,,25.49073,51.4525
T,25.49071227,51.45251409,12.6,,,25.49072,51.45252
T,25.49070446,51.45252477,12.6,,,25.49071,51.45253
T,25.49069147,51.45254074,12.6,,,25.4907,51.45255
T,25.49068629,51.45254603,12.6,,,25.49069,51.45255
T,25.49067331,51.45255924,12.5,,,25.49068,51.45256
T,25.49067072,51.45256188,12.5,,,25.49068,51.45257
T,25.49066296,51.45257515,12.6,,,25.49067,51.45258
T,25.49065521,51.45258572,12.6,,,25.49066,51.45259
T,25.49064489,51.4525962,12.6,,,25.49065,51.4526
T,25.49063203,51.45260928,12.6,,,25.49064,51.45261
T,25.49062433,51.45261711,12.6,,,25.49063,51.45262
T,25.49061153,51.45263012,12.6,,,25.49062,51.45264
T,25.49060387,51.45263792,12.6,,,25.49061,51.45264
T,25.49059367,51.45265095,12.6,,,25.4906,51.45266
T,25.49058354,51.45266662,12.6,,,25.49059,51.45267
T,25.49057345,51.45267961,12.7,,,25.49058,51.45268
T,25.4905634,51.45269788,12.7,,,25.49057,51.4527
T,25.49055587,51.4527109,12.8,,,25.49056,51.45272
T,25.49054834,51.45271859,12.8,,,25.49055,51.45272
T,25.49054084,51.45273157,12.8,,,25.49055,51.45274
T,25.49053084,51.45274443,12.9,,,25.49054,51.45275
